article,author,url,DOI,year
Differential Evolution Algorithm and Method of Moments for the Design of Low-RCS Antenna,"Wentao Wang;
Shuxi Gong;
Xing Wang;
Ying Guan;
Wen Jiang",https://ieeexplore.ieee.org/document/5445047/,10.1109/LAWP.2010.2047837,Year: 2010
"A generalized crossed dipole antenna, the Fourtear antenna","Seong-Youp Suh;
W. Stutzman;
W. Davis;
A. Waltho;
J. Schiffer",https://ieeexplore.ieee.org/document/1331988/,10.1109/APS.2004.1331988,Year: 2004
Study of data-processing method in planar near-field measurements on phased array antennas,"Ding Yu;
Lin Yang;
De-min Fu;
i-zhong Liu",https://ieeexplore.ieee.org/document/5355703/,10.1109/MAPE.2009.5355703,Year: 2009
Novel high gain printed log-periodic dipole antenna,"Xin-Rong Li;
Mao Ye;
Qing-Xin Chu",https://ieeexplore.ieee.org/document/7696530/,10.1109/APS.2016.7696530,Year: 2016
Wideband Circularly Polarized Antenna With Gain Improvement,"Zhi-Ya Zhang;
Neng-Wu Liu;
Jia-Yue Zhao;
Guang Fu",https://ieeexplore.ieee.org/document/6482588/,10.1109/LAWP.2013.2253591,Year: 2013
An LTE Base-Station Magnetoelectric Dipole Antenna with Anti-Interference Characteristics and Its MIMO System Application,"Huiqing Zhai;
Jian Zhang;
Yiping Zang;
Qiqiang Gao;
Changhong Liang",https://ieeexplore.ieee.org/document/6994239/,10.1109/LAWP.2014.2384519,Year: 2015
A compact planar inverted-F antenna for handset application,"Shunfeng Cao;
Yongchang Jiao;
Gang Zhao;
Bin Yang",https://ieeexplore.ieee.org/document/5355624/,10.1109/MAPE.2009.5355624,Year: 2009
A stable gain printed log-periodic dipole antenna,"Tong Cheng;
Wen Jiang;
Shuxi Gong",https://ieeexplore.ieee.org/document/8228796/,10.1109/ISANP.2017.8228796,Year: 2017
A Loaded Wideband Linearly Tapered Slot Antenna With Broad Beamwidth,"Fan Zhang;
Fu-Shun Zhang;
Gang Zhao;
Chen Lin;
Yong-Chang Jiao",https://ieeexplore.ieee.org/document/5688280/,10.1109/LAWP.2011.2106477,Year: 2011
Single - feed miniaturized cross patch antenna,"M.S. Nishamol;
V.P. Sarin;
P. Mohanan;
C.K. Anandan;
K. Vasudevan",https://ieeexplore.ieee.org/document/4763152/,10.1109/AMTA.2008.4763152,Year: 2008
Integrated Internal GSM850/GSM900/DCS/PCS and Wi-Fi Antennas for Mobile Telephone,"Ying Liu;
Antao Bu;
Shuxi Gong",https://ieeexplore.ieee.org/document/4393705/,10.1109/MAPE.2007.4393705,Year: 2007
High performance planar antenna array for broadband WLAN applications,"Yin Yingzeng;
Zhao Na;
Zheng Huili;
Guo Yumei",https://ieeexplore.ieee.org/document/1617887/,10.1109/MAPE.2005.1617887,Year: 2005
A Sequential-Phase Fed Dual-Band Dual-Circular-Polarized Patch Antenna for Ka-Band Satellite Communications,"Hongfei Liu;
Yejun He;
Long Zhang;
Wei He",https://ieeexplore.ieee.org/document/9343577/,10.1109/NEMO49486.2020.9343577,Year: 2020
Compact Asymmetric Coplanar Strip Fed Monopole Antenna for Multiband Applications,"Deepu.V;
Rohith K. Raj;
Manoj Joseph;
Suma M.N;
P. Mohanan",https://ieeexplore.ieee.org/document/4286030/,10.1109/TAP.2007.901847,Year: 2007
Low Side-Lobe Substrate-Integrated-Waveguide Antenna Array Using Broadband Unequal Feeding Network for Millimeter-Wave Handset Device,"Seong-Jin Park;
Dong-Hun Shin;
Seong-Ook Park",https://ieeexplore.ieee.org/document/7368120/,10.1109/TAP.2015.2513075,Year: 2016
A Radiation Pattern Reconfigurable Fabry–Pérot Antenna Based on Liquid Metal,"Xu Yang;
Ying Liu;
Haoyu Lei;
Yongtao Jia;
Peisheng Zhu;
Zhipeng Zhou",https://ieeexplore.ieee.org/document/9093995/,10.1109/TAP.2020.2993310,Year: 2020
A Novel Dual-Polarized 5G Base Station Filtering Antenna,"Xiaobing Gao;
Yejun He;
Li Zhang;
Zhi Zeng",https://ieeexplore.ieee.org/document/9704135/,10.1109/APS/URSI47566.2021.9704135,Year: 2021
Mechanically Tunable Multiband Compact Quadrifilar Helix Antenna With Dual Mode Operation,"Muhammad Amin;
Robert Cahill;
Vincent F. Fusco",https://ieeexplore.ieee.org/document/4538129/,10.1109/TAP.2008.923331,Year: 2008
Application of dipole antennas for perspective vehicle-board systems and complexes,"Elchin Gadzhiev;
Alexander Generalov;
Mirzabek Salikhov;
Vladimir Skripachev;
Okunev Evgeniy;
Alexander Zhukov",https://ieeexplore.ieee.org/document/9030543/,10.1109/EnT47717.2019.9030543,Year: 2019
A Broadband Dual-Polarized Base Station Antenna With Sturdy Construction,"He Huang;
Ying Liu;
Shuxi Gong",https://ieeexplore.ieee.org/document/7539335/,10.1109/LAWP.2016.2598181,Year: 2017
Multiband Metamaterial-Loaded Monopole Antenna for WLAN/WiMAX Applications,"He Huang;
Ying Liu;
Shaoshuai Zhang;
Shuxi Gong",https://ieeexplore.ieee.org/document/6971099/,10.1109/LAWP.2014.2376969,Year: 2015
UWB High-Isolation Directive Coupled-Sectorial-Loops Antenna Pair,"Adel Elsherbini;
Kamal Sarabandi",https://ieeexplore.ieee.org/document/5733361/,10.1109/LAWP.2011.2128852,Year: 2011
Polarization Reconfigurable U-Slot Patch Antenna,"Pei-Yuan Qin;
Andrew R. Weily;
Y. Jay Guo;
Chang-Hong Liang",https://ieeexplore.ieee.org/document/5498981/,10.1109/TAP.2010.2055808,Year: 2010
Hepta-Band Metal-Frame Antenna for LTE/WWAN Full-Screen Smartphone,"Ying Liu;
Wei Cui;
Yongtao Jia;
Aidi Ren",https://ieeexplore.ieee.org/document/9099081/,10.1109/LAWP.2020.2996712,Year: 2020
