article,author,url,DOI,year
NutBaaS: A Blockchain-as-a-Service Platform,"Weilin Zheng;
Zibin Zheng;
Xiangping Chen;
Kemian Dai;
Peishan Li;
Renfei Chen",https://ieeexplore.ieee.org/document/8840920/,10.1109/ACCESS.2019.2941905,Year: 2019
Peer Review Aggregation utilizing blockchain technology,"James Lawton;
Kaan Uzdoğan;
Paul Cox",https://ieeexplore.ieee.org/document/9569802/,10.1109/BRAINS52497.2021.9569802,Year: 2021
Analysis of Blockchain Technology and its Application in the Field of Radio Monitoring,"Xiaoying Ma;
Meiying Wei;
Xiaoli Li;
Xiaofei Zhang",https://ieeexplore.ieee.org/document/9759140/,10.1109/CBFD52659.2021.00097,Year: 2021
Research on Digital Finance Based on Blockchain Technology,Yuhan Zhu,https://ieeexplore.ieee.org/document/9759174/,10.1109/CBFD52659.2021.00089,Year: 2021
MIRIAM: A Blockchain-based Web Application for Managing Professional Registrations of Medical Doctors in Brazil,"Raphael Saraiva;
Allysson Allex Araújo;
Pamella Soares;
Jerffeson Souza",https://ieeexplore.ieee.org/document/9461051/,10.1109/ICBC51069.2021.9461051,Year: 2021
BlendMAS: A Blockchain-Enabled Decentralized Microservices Architecture for Smart Public Safety,"Ronghua Xu;
Seyed Yahya Nikouei;
Yu Chen;
Erik Blasch;
Alexander Aved",https://ieeexplore.ieee.org/document/8946177/,10.1109/Blockchain.2019.00082,Year: 2019
A Lightweight Blockchain-Based Privacy Protection for Smart Surveillance at the Edge,"Alem Fitwi;
Yu Chen;
Sencun Zhu",https://ieeexplore.ieee.org/document/8946270/,10.1109/Blockchain.2019.00080,Year: 2019
Traceability in Permissioned Blockchain,"Tatsuo Mitani;
Akira Otsuka",https://ieeexplore.ieee.org/document/8946207/,10.1109/Blockchain.2019.00045,Year: 2019
Design patterns and framework for blockchain integration in supply chains,"Dennis Lamken;
Tobias Wagner;
Tim Hoiss;
Karl Seidenfad;
Andreas Hermann;
Mehmet Kus;
Ulrike Lechner",https://ieeexplore.ieee.org/document/9461062/,10.1109/ICBC51069.2021.9461062,Year: 2021
BEAAS: Blockchain Enabled Attribute-Based Access Control as a Service,"Ritik Kumar;
Balaji Palanisamy;
Shamik Sural",https://ieeexplore.ieee.org/document/9461151/,10.1109/ICBC51069.2021.9461151,Year: 2021
Blockchain-based IoT security authentication system,"Zhang Gong-Guo;
Zhou Wan",https://ieeexplore.ieee.org/document/9759110/,10.1109/CBFD52659.2021.00090,Year: 2021
Design of Blockchain-based Travel Rule Compliance System,"Chaehyeon Lee;
Changhoon Kang;
Wonseok Choi;
Jehoon Lee;
Myunghun Cha;
Jongsoo Woo;
James Won-Ki Hong",https://ieeexplore.ieee.org/document/9805552/,10.1109/ICBC54727.2022.9805552,Year: 2022
"SUPRA, a distributed publish/subscribe protocol with blockchain as a conflict resolver","Jean-Philippe ABEGG;
Quentin BRAMAS;
Timothée BRUGIÈRE;
Thomas NOEL",https://ieeexplore.ieee.org/document/9569827/,10.1109/BRAINS52497.2021.9569827,Year: 2021
De-Centralized Voting System using Blockchain,"Atharva Jangada;
Nimish Dadlani;
Sanchit Raina;
VS Sooraj;
A.R. Buchade",https://ieeexplore.ieee.org/document/9936022/,10.1109/ICBDS53701.2022.9936022,Year: 2022
Blockchain-Based Software Systems: Taxonomy Development,Lamia Alashaikh,https://ieeexplore.ieee.org/document/9680467/,10.1109/Blockchain53845.2021.00075,Year: 2021
"Performance Analysis of a Hyperledger Fabric Blockchain Framework: Throughput, Latency and Scalability","Murat Kuzlu;
Manisa Pipattanasomporn;
Levent Gurses;
Saifur Rahman",https://ieeexplore.ieee.org/document/8946222/,10.1109/Blockchain.2019.00003,Year: 2019
CoDAG: An Efficient and Compacted DAG-Based Blockchain Protocol,"Shu Yang;
Ziteng Chen;
Laizhong Cui;
Mingwei Xu;
Zhongxing Ming;
Ke Xu",https://ieeexplore.ieee.org/document/8946190/,10.1109/Blockchain.2019.00049,Year: 2019
Bitcoin Options Pricing Using LSTM-Based Prediction Model and Blockchain Statistics,"Lun Li;
Ali Arab;
Jiqiang Liu;
Jingxian Liu;
Zhu Han",https://ieeexplore.ieee.org/document/8946183/,10.1109/Blockchain.2019.00018,Year: 2019
Performance Analysis of an Energy Trading Platform Using the Ethereum Blockchain,"Dongmin Son;
Sawsan Al Zahr;
Gerard Memmi",https://ieeexplore.ieee.org/document/9461115/,10.1109/ICBC51069.2021.9461115,Year: 2021
POLYBRIDGE: A Crosschain Bridge For Heterogeneous Blockchains,"Yue Li;
Han Liu;
Yuan Tan",https://ieeexplore.ieee.org/document/9805525/,10.1109/ICBC54727.2022.9805525,Year: 2022
IEEE Recommended Practice for E-Invoice Business Using Blockchain Technology,"IEEE Std 2142.1-2021
Year: 2021 | Standard | Publisher: IEEE
Cited by: Papers (1)",https://ieeexplore.ieee.org/document/9381780/,10.1109/IEEESTD.2021.9381780,Year: 2021
Blockchain in 5G Networks: Perfomance Evaluation of Private Blockchain,"I. R. Fedorov;
A. V. Pimenov;
G. A. Panin;
S. V. Bezzateev",https://ieeexplore.ieee.org/document/9470519/,10.1109/WECONF51603.2021.9470519,Year: 2021
BlockIPFS - Blockchain-Enabled Interplanetary File System for Forensic and Trusted Data Traceability,"Emmanuel Nyaletey;
Reza M. Parizi;
Qi Zhang;
Kim-Kwang Raymond Choo",https://ieeexplore.ieee.org/document/8946164/,10.1109/Blockchain.2019.00012,Year: 2019
Blockchain-Based Charging Coordination Mechanism for Smart Grid Energy Storage Units,"Mohamed Baza;
Mahmoud Nabil;
Muhammad Ismail;
Mohamed Mahmoud;
Erchin Serpedin;
Mohammad Ashiqur Rahman",https://ieeexplore.ieee.org/document/8946265/,10.1109/Blockchain.2019.00076,Year: 2019
Study of Traceability System of Renewable Energy Power Trading Based on Blockchain Technology,"Qing Zhang;
Tao Xu;
Dong Wang;
Zijian Liu;
Chuanyuan Cheng;
Shangzhuo Zheng;
Gangpeng Wang",https://ieeexplore.ieee.org/document/9845061/,10.1109/ICBCTIS55569.2022.00047,Year: 2022
Blockchain Technologies and Their Applications in Data Science and Cyber Security,Bhavani Thuraisingham,https://ieeexplore.ieee.org/document/9415693/,10.1109/SmartBlock52591.2020.00008,Year: 2020
An Information Sharing Prototype System of Ship Integrated Logistics Support Based on Blockchain,"Qi Wang;
Jun Yin;
Ping Qian;
Shilun Ge",https://ieeexplore.ieee.org/document/9845090/,10.1109/ICBCTIS55569.2022.00014,Year: 2022
IEEE Draft Standard for Blockchain-based Electronic Contracts,"P3801/D2.0, May 2021
Year: 2021 | Standard | Publisher: IEEE",https://ieeexplore.ieee.org/document/9547252/,,Year: 2021
IEEE Draft Standard for Blockchain-based Electronic Contracts,"IEEE P3801/D3.1, November 2021
Year: 2021 | Standard | Publisher: IEEE",https://ieeexplore.ieee.org/document/9624199/,,Year: 2021
A Scalable Blockchain-based Smart Contract Model for Decentralized Voltage Stability Using Sharding Technique,"Kimia Honari;
Xiaotian Zhou;
Sara Rouhani;
Scott Dick;
Hao Liang;
Yunwei Li;
James Miller",https://ieeexplore.ieee.org/document/9881800/,10.1109/Blockchain55522.2022.00026,Year: 2022
BlockSim: Blockchain Simulator,"Carlos Faria;
Miguel Correia",https://ieeexplore.ieee.org/document/8946201/,10.1109/Blockchain.2019.00067,Year: 2019
Simulating a Blockchain Network with SimBlock,"Ryohei Banno;
Kazuyuki Shudo",https://ieeexplore.ieee.org/document/8751431/,10.1109/BLOC.2019.8751431,Year: 2019
Fabchain: Managing Audit-able 3D Print Job over Blockchain,"Ryosuke Abe;
Shigeya Suzuki;
Kenji Saito;
Hiroya Tanaka;
Osamu Nakamura;
Jun Murai",https://ieeexplore.ieee.org/document/9805519/,10.1109/ICBC54727.2022.9805519,Year: 2022
E-Chain Learn: A Degree Certification System Based on Blockchain,"Tushangqing Kuang;
Wenhao Zou;
Hong Qi;
Shengwen Zou",https://ieeexplore.ieee.org/document/9845121/,10.1109/ICBCTIS55569.2022.00058,Year: 2022
Digital Music Resource Copyright Management Mechanism Based on Blockchain,Yaping Zeng,https://ieeexplore.ieee.org/document/9415654/,10.1109/SmartBlock52591.2020.00036,Year: 2020
A Blockchain Consensus Algorithm Based on Node Random Number Calculation,"Jiqing Ye;
Lifeng Yang;
Hao Ye",https://ieeexplore.ieee.org/document/9845076/,10.1109/ICBCTIS55569.2022.00030,Year: 2022
"Music Information Retrieval Technology: Fusion of Music, Artificial Intelligence and Blockchain",Yun Cheng,https://ieeexplore.ieee.org/document/9415661/,10.1109/SmartBlock52591.2020.00033,Year: 2020
Proof of Authenticity of Logistics Information with Passive RFID Tags and Blockchain,"Hiroshi Watanabe;
Kenji Saito;
Satoshi Miyazaki;
Toshiharu Okada;
Hiroyuki Fukuyama;
Tsuneo Kato;
Katsuo Taniguchi",https://ieeexplore.ieee.org/document/9686409/,10.1109/ICEIB53692.2021.9686409,Year: 2021
Proximity Neighbor Selection in Blockchain Networks,"Yusuke Aoki;
Kazuyuki Shudo",https://ieeexplore.ieee.org/document/8946161/,10.1109/Blockchain.2019.00016,Year: 2019
ASID: Accessible Secure Unique Identification File Based Device Security in Next Generation Blockchains,"Ahmad J. Alkhodair;
Saraju P. Mohanty;
Elias Kougianos",https://ieeexplore.ieee.org/document/9461120/,10.1109/ICBC51069.2021.9461120,Year: 2021
Simulation Analysis of Music Communication Agent model Based on Blockchain Technology,Bing Zhang,https://ieeexplore.ieee.org/document/9415656/,10.1109/SmartBlock52591.2020.00035,Year: 2020
A Case Study of a Blockchain-GDPR Adaptation,"Sina Rafati Niya;
Julius Willems;
Burkhard Stiller",https://ieeexplore.ieee.org/document/9805553/,10.1109/ICBC54727.2022.9805553,Year: 2022
DASP: Distributed and Autonomic Scientific Publisher Proposal for Editorial Process Management on Permissioned Blockchain,"Elder Bruno Evaristo Correa;
Vagner De B. Nascimento;
Antonio J. G. Abelém",https://ieeexplore.ieee.org/document/9569805/,10.1109/BRAINS52497.2021.9569805,Year: 2021
IEEE Draft Standard for Application Technical Specification of Blockchain-based E-Commerce Transaction Evidence Collecting,"IEEE P3802/D2.0, May 2021
Year: 2021 | Standard | Publisher: IEEE",https://ieeexplore.ieee.org/document/9547246/,,Year: 2021
IEEE Approved Draft Standard for Application Technical Specification of Blockchain-based E-Commerce Transaction Evidence Collecting,"IEEE P3802/D3.1, November 2021
Year: 2021 | Standard | Publisher: IEEE",https://ieeexplore.ieee.org/document/9626687/,,Year: 2021
Meepo: Sharded Consortium Blockchain,"Peilin Zheng;
Quanqing Xu;
Zibin Zheng;
Zhiyuan Zhou;
Ying Yan;
Hui Zhang",https://ieeexplore.ieee.org/document/9458713/,10.1109/ICDE51399.2021.00165,Year: 2021
A Certificateless Consortium Blockchain for IoTs,"Xiaobing Guo;
Qingxiao Guo;
Min Liu;
Yunhao Wang;
Yilong Ma;
Bo Yang",https://ieeexplore.ieee.org/document/9355676/,10.1109/ICDCS47774.2020.00054,Year: 2020
Proxy re-encryption for privacy enhancement in Blockchain: Carpooling use case,"Damien Zonda;
Maroua Meddeb",https://ieeexplore.ieee.org/document/9284668/,10.1109/Blockchain50366.2020.00070,Year: 2020
Blockchain-based Solutions for Education Credentialing System: Comparison and Implications for Future Development,"Zoey Ziyi Li;
K. Liu Joseph;
Jiangshan Yu;
Dragan Gasevic",https://ieeexplore.ieee.org/document/9881839/,10.1109/Blockchain55522.2022.00021,Year: 2022
Decentralized Cross-Blockchain Asset Transfers,"Marten Sigwart;
Philipp Frauenthaler;
Christof Spanring;
Michael Sober;
Stefan Schulte",https://ieeexplore.ieee.org/document/9657007/,10.1109/BCCA53669.2021.9657007,Year: 2021
IEEE Standard for Blockchain based Digital Asset Management,"IEEE Std 2418.10-2022
Year: 2022 | Standard | Publisher: IEEE",https://ieeexplore.ieee.org/document/9810177/,10.1109/IEEESTD.2022.9810177,Year: 2022
Keynote Speech 2: An overview of Decentralized Autonomous Organizations in the blockchain,Javier Arroyo,https://ieeexplore.ieee.org/document/9656984/,10.1109/BCCA53669.2021.9656984,Year: 2021
A Lightweight and Attack-Proof Bidirectional Blockchain Paradigm for Internet of Things,"Chenhao Xu;
Youyang Qu;
Tom H. Luan;
Peter W. Eklund;
Yong Xiang;
Longxiang Gao",https://ieeexplore.ieee.org/document/9509292/,10.1109/JIOT.2021.3103275,Year: 2022
Current Status and Prospects of Blockchain Security Standardization,"Xiaofeng Chen;
Zunbo Wei;
Xiangjuan Jia;
Peiyu Zheng;
Mengwei Han;
Xiaohu Yang",https://ieeexplore.ieee.org/document/9843045/,10.1109/CSCloud-EdgeCom54986.2022.00014,Year: 2022
Detecting Blockchain Security Threats,"Benedikt Putz;
Günther Pernul",https://ieeexplore.ieee.org/document/9284698/,10.1109/Blockchain50366.2020.00046,Year: 2020
IoT Data Storage on a Blockchain Using Smart Contracts and IPFS,"João Paulo de Brito Gonçalves;
Gabriel Spelta;
Rodolfo da Silva Villaça;
Roberta Lima Gomes",https://ieeexplore.ieee.org/document/9881840/,10.1109/Blockchain55522.2022.00078,Year: 2022
"Blockchain Domain-Specific Languages: Survey, Classification, and Comparison","Md Tauseef Alam;
Sujit Chowdhury;
Raju Halder;
Abyayananda Maiti",https://ieeexplore.ieee.org/document/9680543/,10.1109/Blockchain53845.2021.00076,Year: 2021
Scalable Blockchain Anomaly Detection with Sketches,"Tomer Voronov;
Danny Raz;
Ori Rottenstreich",https://ieeexplore.ieee.org/document/9680503/,10.1109/Blockchain53845.2021.00013,Year: 2021
Enhancing Blockchain Traceability with DAG-Based Tokens,"Hiroki Watanabe;
Tatsuro Ishida;
Shigenori Ohashi;
Shigeru Fujimura;
Atsushi Nakadaira;
Kota Hidaka;
Jay Kishigami",https://ieeexplore.ieee.org/document/8946176/,10.1109/Blockchain.2019.00036,Year: 2019
BA-CPABE : An auditable Ciphertext-Policy Attribute Based Encryption Based on Blockchain,"Jingyi Wang;
Cheng Huang;
Yiming Ma;
Huiyuan Wang;
Chao Peng;
HouHui Yu",https://ieeexplore.ieee.org/document/9845120/,10.1109/ICBCTIS55569.2022.00051,Year: 2022
BLOCKEYE: Hunting for DeFi Attacks on Blockchain,"Bin Wang;
Han Liu;
Chao Liu;
Zhiqiang Yang;
Qian Ren;
Huixuan Zheng;
Hong Lei",https://ieeexplore.ieee.org/document/9402298/,10.1109/ICSE-Companion52605.2021.00025,Year: 2021
Blockchain based healthcare system with Artificial Intelligence,"Malik Junaid Jami Gul;
Anand Paul;
Seungmin Rho;
Mucheol Kim",https://ieeexplore.ieee.org/document/9457873/,10.1109/CSCI51800.2020.00138,Year: 2020
BCvoteMDE: A Blockchain-based E-Voting Scheme for Multi-District Elections,"Hongyu Zhu;
Libo Feng;
Jianzhao Luo;
Yani Sun;
Bei Yu;
Shaowen Yao",https://ieeexplore.ieee.org/document/9776193/,10.1109/CSCWD54268.2022.9776193,Year: 2022
General Purpose Atomic Crosschain Transactions,"Peter Robinson;
Raghavendra Ramesh",https://ieeexplore.ieee.org/document/9461132/,10.1109/ICBC51069.2021.9461132,Year: 2021
Decentralized and Self-Sovereign Identity in the Era of Blockchain: A Survey,"Yirui Bai;
Hong Lei;
Suozai Li;
Haoyu Gao;
Jun Li;
Leixiao Li",https://ieeexplore.ieee.org/document/9881610/,10.1109/Blockchain55522.2022.00077,Year: 2022
Aeolus: Distributed Execution of Permissioned Blockchain Transactions via State Sharding,"Peilin Zheng;
Quanqing Xu;
Xiapu Luo;
Zibin Zheng;
Weilin Zheng;
Xu Chen;
Zhiyuan Zhou;
Ying Yan;
Hui Zhang",https://ieeexplore.ieee.org/document/9748986/,10.1109/TII.2022.3164433,Year: 2022
PeloPartition: Improving Blockchain Resilience to Network Partitioning,"Juncheng Fang;
Farzad Habibi;
Kevin Bruhwiler;
Fayzah Alshammari;
Abhishek Singh;
Yinan Zhou;
Faisal Nawab",https://ieeexplore.ieee.org/document/9881826/,10.1109/Blockchain55522.2022.00045,Year: 2022
VAULT: A Scalable Blockchain-Based Protocol for Secure Data Access and Collaboration,"Justin S. Gazsi;
Sajia Zafreen;
Gaby G. Dagher;
Min Long",https://ieeexplore.ieee.org/document/9680475/,10.1109/Blockchain53845.2021.00059,Year: 2021
