article,author,url,DOI,year
Gabor Feature-Based LogDemons With Inertial Constraint for Nonrigid Image Registration,"Ying Wen;
Cheng Xu;
Yue Lu;
Qingli Li;
Haibin Cai;
Lianghua He",https://ieeexplore.ieee.org/document/9159875/,10.1109/TIP.2020.3013169,2020
Jelly filling segmentation of fluorescence microscopy images containing incomplete labeling,"Neeraj J. Gadgil;
Paul Salama;
Kenneth W. Dunn;
Edward J. Delp",https://ieeexplore.ieee.org/document/7493324/,10.1109/ISBI.2016.7493324,2016
Apply image processing technique to determine the correlation of chlorophyll,"Sattarpoom Thaiparnit;
Jakkree Srinonchat",https://ieeexplore.ieee.org/document/5137240/,10.1109/ECTICON.2009.5137240,2009
Challenges in contact-less latent fingerprint processing in crime scenes: Review of sensors and image processing investigations,"Stefan Kiltz;
Mario Hildebrandt;
Jana Dittmann;
Claus Vielhauer",https://ieeexplore.ieee.org/document/6334312/,,2012
Image Processing of Guqin Score Based on Mathematical Morphology,Gen-Fang Chen,https://ieeexplore.ieee.org/document/9544192/,10.1109/CCET52649.2021.9544192,2021
Spatial and temporal processing for functional imaging probes,"Mingwu Jin;
Cong Zhao;
Jaehoon Yu;
Wei Chen;
Guiyang Hao;
Xiankai Sun;
Glen Balch",https://ieeexplore.ieee.org/document/7430819/,10.1109/NSSMIC.2014.7430819,2014
An approach to microCT image processing,"M. Clark;
J.S. DaPonte;
T. Sadowski",https://ieeexplore.ieee.org/document/1431961/,10.1109/NEBC.2005.1431961,2005
Interactive volume segmentation with differential image foresting transforms,"A.X. Falcao;
F.P.G. Bergo",https://ieeexplore.ieee.org/document/1327689/,10.1109/TMI.2004.829335,2004
Evaluation of Parallel Level Sets and Bowsher’s Method as Segmentation-Free Anatomical Priors for Time-of-Flight PET Reconstruction,"Georg Schramm;
Martin Holler;
Ahmadreza Rezaei;
Kathleen Vunckx;
Florian Knoll;
Kristian Bredies;
Fernando Boada;
Johan Nuyts",https://ieeexplore.ieee.org/document/8089376/,10.1109/TMI.2017.2767940,2018
Delay-Encoded Harmonic Imaging (DE-HI) in Multiplane-Wave Compounding,"Ping Gong;
Pengfei Song;
Shigao Chen",https://ieeexplore.ieee.org/document/7781657/,10.1109/TMI.2016.2638639,2017
An adaptive anisotropic thermal diffusion filter for image smoothing,"Caixia Liu;
Xiaofei Yan;
Bin Yang",https://ieeexplore.ieee.org/document/8301948/,10.1109/CISP-BMEI.2017.8301948,2017
2D phase-based matching in uncalibrated images,"Yi Xu;
Jun Zhou;
Guangtao Zhai",https://ieeexplore.ieee.org/document/1579887/,10.1109/SIPS.2005.1579887,2005
Medical image segmentation using multi-scale and super-resolution method,"En-Ui Lin;
Michael McLaughlin;
Abdullah Ali Alshehri;
Soundararajan Ezekiel;
Waleed Farag",https://ieeexplore.ieee.org/document/7041899/,10.1109/AIPR.2014.7041899,2014
Adaptive Image Scaling for Corresponding Points Matching between Images with Differing Spatial Resolutions,"Hisatoshi Toriya;
Ashraf Dewan;
Itaru Kitahara",https://ieeexplore.ieee.org/document/9377754/,10.1109/BigData50022.2020.9377754,2020
Underwater Images Enhancement by Revised Underwater Images Formation Model,"Soo-Chang Pei;
Chia-Yi Chen",https://ieeexplore.ieee.org/document/9915404/,10.1109/ACCESS.2022.3213340,2022
Super-resolution using the Walsh functions: a new algorithm for image reconstruction,"N. Omrane;
P. Palmer",https://ieeexplore.ieee.org/document/1246676/,10.1109/ICIP.2003.1246676,2003
Marginal Fisher Analysis and Its Variants for Human Gait Recognition and Content- Based Image Retrieval,"Dong Xu;
Shuicheng Yan;
Dacheng Tao;
Stephen Lin;
Hong-Jiang Zhang",https://ieeexplore.ieee.org/document/4337772/,10.1109/TIP.2007.906769,2007
DIC Image Segmentation of Dense Cell Populations by Combining Deep Learning and Watershed,"Filip Lux;
Petr Matula",https://ieeexplore.ieee.org/document/8759594/,10.1109/ISBI.2019.8759594,2019
Joint image dehazing and contrast enhancement using the HSV color space,"Yi Wan;
Qiqiang Chen",https://ieeexplore.ieee.org/document/7457892/,10.1109/VCIP.2015.7457892,2015
Discriminative Sketch Topic Model With Structural Constraint for SAR Image Classification,"Yake Zhang;
Fang Liu;
Licheng Jiao;
Shuyuan Yang;
Lingling Li;
Meijuan Yang",https://ieeexplore.ieee.org/document/9198083/,10.1109/JSTARS.2020.3024002,2020
Adaptive sensing and image processing with a general-purpose pixel-parallel sensor/processor array integrated circuit,Piotr Dudek,https://ieeexplore.ieee.org/document/4350340/,10.1109/CAMP.2007.4350340,2006
Image Auto-Mosaic for Large Angle of Obliquity Close-Range Sequential Images to Realize Cyber City,"Chang Li;
Jinlai Guo;
Yu Xia",https://ieeexplore.ieee.org/document/4554118/,10.1109/ISIP.2008.63,2008
Cluster based block processing for gigantic images: Dimension and size,"U.S.N. Raju;
K Suresh Kumar;
Vedpratap Mehta;
Rishabh Sharma;
Sushanth Kuli",https://ieeexplore.ieee.org/document/8313778/,10.1109/ICIIP.2017.8313778,2017
Analysis of the optical array imaging system and construction of an adaptive imaging algorithm,O. Ikeda,https://ieeexplore.ieee.org/document/529055/,10.1109/ICIP.1995.529055,1995
Image de-noising by selective filtering based on double-shot pictures,D.A. Florencio,https://ieeexplore.ieee.org/document/1530401/,10.1109/ICIP.2005.1530401,2005
Benchmarking of Deep Architectures for Segmentation of Medical Images,"Daniel Gut;
Zbisław Tabor;
Mateusz Szymkowski;
Miłosz Rozynek;
Iwona Kucybała;
Wadim Wojciechowski",https://ieeexplore.ieee.org/document/9789098/,10.1109/TMI.2022.3180435,2022
Study of Punching-Teeth Test Platform Based on Image Processing Technology,"Yongping Zhu;
Shengjun Cao;
Juan Wan",https://ieeexplore.ieee.org/document/5473390/,10.1109/IWISA.2010.5473390,2010
FSIM: A Feature Similarity Index for Image Quality Assessment,"Lin Zhang;
Lei Zhang;
Xuanqin Mou;
David Zhang",https://ieeexplore.ieee.org/document/5705575/,10.1109/TIP.2011.2109730,2011
A fuzzy vessel tracking algorithm for retinal images based on fuzzy clustering,"Y.A. Tolias;
S.M. Panas",https://ieeexplore.ieee.org/document/700738/,10.1109/42.700738,1998
Statistical Evaluation of Visual Quality Metrics for Image Denoising,"Karen Egiazarian;
Mykola Ponomarenko;
Vladimir Lukin;
Oleg Ieremeiev",https://ieeexplore.ieee.org/document/8462294/,10.1109/ICASSP.2018.8462294,2018
A wavelet core for video processing,"C. Diou;
L. Torres;
M. Robert",https://ieeexplore.ieee.org/document/899406/,10.1109/ICIP.2000.899406,2000
An Adaptive Correction Algorithm for Non-Uniform Illumination Panoramic Images Based on the Improved Bilateral Gamma Function,"Dianwei Wang;
Weichao Yan;
Tingge Zhu;
Yongjun Xie;
Haijun Song;
Xinrong Hu",https://ieeexplore.ieee.org/document/8227404/,10.1109/DICTA.2017.8227404,2017
Application of Tolerance Limits to the Characterization of Image Registration Performance,"Andriy Fedorov;
William M. Wells;
Ron Kikinis;
Clare M. Tempany;
Mark G. Vangel",https://ieeexplore.ieee.org/document/6799205/,10.1109/TMI.2014.2317796,2014
The Statistical Influence of Imaging Time and Segmentation Volume on PET Radiomic Features: A Preclinical Study,"Emad M. Alsyed;
Rhodri Smith;
Christopher Marshall;
Stephen Paisey;
Emiliano Spezi",https://ieeexplore.ieee.org/document/9059863/,10.1109/NSS/MIC42101.2019.9059863,2019
A custom developed linear array photoacoustic tomography for noninvasive medical imaging,"Prasannakumar Palaniappan;
Dong Ho Shin;
Sang Hun Park;
Myoung Young Lee;
Bang Young Kim;
Sang Young Lee;
Seung Kye Go;
Chul Gyu Song",https://ieeexplore.ieee.org/document/7804756/,10.1109/ICCE-Asia.2016.7804756,2016
A remote sensing image processing framework for damage assessment in a forest fire scenario,"Anca Popescu;
Corina Vaduva;
Daniela Faur;
Inge Gavat;
Mihai Datcu",https://ieeexplore.ieee.org/document/6334249/,,2012
A new restoration method and its application to speckle images,"I. Dukunovic;
G. Stippel;
A. Pizurica;
W. Philips;
I. Lemahieu",https://ieeexplore.ieee.org/document/899348/,10.1109/ICIP.2000.899348,2000
Towards Image Guided Magnetic Resonance Elastography via Active Driver Positioning Robot,"Waiman Meinhold;
Efe Ozkaya;
Derek Petti;
Vaughn Rice;
Emily Triolo;
Fargol Rezayaraghi;
Paul Kennedy;
Lazar Fleysher;
Ai-Ping Hu;
Jun Ueda;
Mehmet Kurt",https://ieeexplore.ieee.org/document/9760193/,10.1109/TBME.2022.3168494,2022
FUIQA: Fetal Ultrasound Image Quality Assessment With Deep Convolutional Networks,"Lingyun Wu;
Jie-Zhi Cheng;
Shengli Li;
Baiying Lei;
Tianfu Wang;
Dong Ni",https://ieeexplore.ieee.org/document/7875138/,10.1109/TCYB.2017.2671898,2017
A fast fractal image coding based on kick-out and zero contrast conditions,"Cheung-Ming Lai;
Kin-Man Lam;
Wan-Chi Siu",https://ieeexplore.ieee.org/document/1240106/,10.1109/TIP.2003.817246,2003
DCT quantization noise in compressed images,"M.A. Robertson;
R.L. Stevenson",https://ieeexplore.ieee.org/document/958984/,10.1109/ICIP.2001.958984,2001
Fabric defect detection using local homogeneity and morphological image processing,"A. Rebhi;
S. Abid;
F. Fnaiech",https://ieeexplore.ieee.org/document/7880062/,10.1109/IPAS.2016.7880062,2016
A complete single-chip implementation of the JPEG image compression standard,"M. Bolton;
R. Boulton;
J. Martin;
S. Ng;
S. Turner",https://ieeexplore.ieee.org/document/164081/,10.1109/CICC.1991.164081,1991
Supervised classification of hyperspectral images using local-receptive-fields-based kernel extreme learning machine,"Yu Shen;
Jianyu Chen;
Liang Xiao",https://ieeexplore.ieee.org/document/8296857/,10.1109/ICIP.2017.8296857,2017
Investigation of a Brain Cancer with Interfacing of 3-Dimensional Image Processing,"Soobia Saeed;
Afnizanfaizal Bin Abdullah",https://ieeexplore.ieee.org/document/8777404/,10.1109/CISCT.2019.8777404,2019
Image transmission and cryptography on the basis of Mobius transform,ShunDa Lin,https://ieeexplore.ieee.org/document/6469901/,10.1109/CISP.2012.6469901,2012
Harris corner detection based leaf image segmentation for ancient Chinese books,"Jingjing Zhang;
Yuan Cai;
Wei Jiang;
Chuanyu Wang",https://ieeexplore.ieee.org/document/8302060/,10.1109/CISP-BMEI.2017.8302060,2017
Interpolated Mth band filters for image size conversion,"Seungjoon Yang;
T.Q. Nguyen",https://ieeexplore.ieee.org/document/958267/,10.1109/ICIP.2001.958267,2001
"Digital image processing applied in determination of misplaced components on a PCB, marked with colour code","Stefan Oprea;
Ioan Lita;
Daniel Alexandru Visan;
Ion Bogdan Cioc",https://ieeexplore.ieee.org/document/4432890/,10.1109/ISSE.2007.4432890,2007
Supervised fuzzy and Bayesian classification of high dimensional data: a comparative study,"M.G.-H. Mostafa;
T.C. Perkins;
A.A. Farag",https://ieeexplore.ieee.org/document/901073/,10.1109/ICIP.2000.901073,2000
An optimized high resolution radial ultrasound endoscope for digestive tract imaging,"Jue Peng;
Xiaozhen Li;
Hu Tang;
Xiaojian Peng;
Siping Chen",https://ieeexplore.ieee.org/document/8091715/,10.1109/ULTSYM.2017.8091715,2017
Performance Analysis of Adaptive Unsharp Masking Filter Techniques for Image Contrast Enhancement,"Suit Mun Ng;
Haniza Yazid;
Saufiah Abdul Rahim;
Nazahah Mustafa",https://ieeexplore.ieee.org/document/9612557/,10.1109/ICSET53708.2021.9612557,2021
Simulation of Three-Dimensional Images and Estimation of Lung Volumes from Two-Dimensional MRI and CT Images,"Siti Hazurah Binti Indera Putera;
Muhammad Rajaei Bin Dzulkifli;
Norbaiti Binti Sidek;
Zahari Bin Abu Bakar;
Nurul Nadia Binti Mohammad",https://ieeexplore.ieee.org/document/9935628/,10.1109/ICCSCE54767.2022.9935628,2022
Analysing the optical flow of photometric-stereo images,"J.R.A. Torreao;
B.M. Carvalho",https://ieeexplore.ieee.org/document/465530/,10.1049/cp:19950681,1995
Partitioning Histopathological Images: An Integrated Framework for Supervised Color-Texture Segmentation and Cell Splitting,"Hui Kong;
Metin Gurcan;
Kamel Belkacem-Boussaid",https://ieeexplore.ieee.org/document/5746646/,10.1109/TMI.2011.2141674,2011
A Voxel-Based Fully Convolution Network and Continuous Max-Flow for Carotid Vessel-Wall-Volume Segmentation From 3D Ultrasound Images,"Ran Zhou;
Fumin Guo;
M. Reza Azarpazhooh;
J. David Spence;
Eranga Ukwatta;
Mingyue Ding;
Aaron Fenster",https://ieeexplore.ieee.org/document/9018144/,10.1109/TMI.2020.2975231,2020
Nonlinear Imaging of Microbubble Contrast Agent Using the Volterra Filter: In Vivo Results,"Juan Du;
Dalong Liu;
Emad S. Ebbini",https://ieeexplore.ieee.org/document/7579644/,10.1109/TUFFC.2016.2614430,2016
Pavement Crack Detection Algorithm Based on Image Processing Analysis,Zhu Qingbo,https://ieeexplore.ieee.org/document/7783490/,10.1109/IHMSC.2016.96,2016
Evaluation on the Sensitivity of Tri-Coil Sensor Jig for 3D Image Reconstruction in Magnetic Induction Tomography,"Zulkarnay Zakaria;
Ibrahim Balkhis;
Sazali Yaacob;
Muhammad Saiful Badri Mansor;
Ruzairi Abdul Rahim;
Herlina Abdul Rahim",https://ieeexplore.ieee.org/document/6527516/,10.1109/UKSim.2013.18,2013
Multi-atlas synthesis for computer assisted diagnosis: Application to cardiovascular diseases,"Maria A. Zuluaga;
Ninon Burgos;
Andrew M. Taylor;
Sébastien Ourselin",https://ieeexplore.ieee.org/document/7163870/,10.1109/ISBI.2015.7163870,2015
Simulation of echo planar imaging in MRI: Application to assessment of field inhomogeneity and chemical shift,"Ali Reza Mohammadi-Nejad;
Gholam-Ali Hossein-Zadeh",https://ieeexplore.ieee.org/document/4555485/,10.1109/ISSPA.2007.4555485,2007
The polynomial phase difference operator for modeling of nonhomogeneous images,"J.M. Francos;
B. Friedlander",https://ieeexplore.ieee.org/document/537468/,10.1109/ICIP.1995.537468,1995
Super resolution of 3D MRI images using a bivariate Laplacian mixture model constraint,"Rafiqul Islam;
Andrew J. Lambert;
Mark R. Pickering",https://ieeexplore.ieee.org/document/6235856/,10.1109/ISBI.2012.6235856,2012
Object detection in grayscale images based on covariance features,Ints Mednieks,https://ieeexplore.ieee.org/document/4673393/,10.1109/ICSES.2008.4673393,2008
Topology-Preserving Tissue Classification of Magnetic Resonance Brain Images,"Pierre-Louis Bazin;
Dzung L. Pham",https://ieeexplore.ieee.org/document/4141185/,10.1109/TMI.2007.893283,2007
Spiral interpolation algorithm for multislice spiral CT. I. Theory,"S. Schaller;
T. Flohr;
K. Klingenbeck;
J. Krause;
T. Fuchs;
W.A. Kalender",https://ieeexplore.ieee.org/document/887832/,10.1109/42.887832,2000
Hamilton–Jacobi Skeleton on Cortical Surfaces,"Yonggang Shi;
Paul M. Thompson;
Ivo Dinov;
Arthur W. Toga",https://ieeexplore.ieee.org/document/4389763/,10.1109/TMI.2007.913279,2008
Medical Image Imputation From Image Collections,"Adrian V. Dalca;
Katherine L. Bouman;
William T. Freeman;
Natalia S. Rost;
Mert R. Sabuncu;
Polina Golland",https://ieeexplore.ieee.org/document/8444451/,10.1109/TMI.2018.2866692,2019
Model-Based and Data-Driven Strategies in Medical Image Computing,"Daniel Rueckert;
Julia A. Schnabel",https://ieeexplore.ieee.org/document/8867900/,10.1109/JPROC.2019.2943836,2020
3D Neuron Microscopy Image Segmentation via the Ray-Shooting Model and a DC-BLSTM Network,"Yi Jiang;
Weixun Chen;
Min Liu;
Yaonan Wang;
Erik Meijering",https://ieeexplore.ieee.org/document/9186077/,10.1109/TMI.2020.3021493,2021
Subframe Video Synchronization via 3D Phase Correlation,"Congxia Dai;
Yunfei Zheng;
Xin Li",https://ieeexplore.ieee.org/document/4106576/,10.1109/ICIP.2006.312436,2006
Robust classification of blurred imagery,"D. Kundur;
D. Hatzinakos;
H. Leung",https://ieeexplore.ieee.org/document/821737/,10.1109/83.821737,2000
Methods for large image distributed processing and storage,Andrey Kokoulin,https://ieeexplore.ieee.org/document/6625191/,10.1109/EUROCON.2013.6625191,2013
Some image tools for sonar image processing,S. Guillaudeux,https://ieeexplore.ieee.org/document/968329/,10.1109/OCEANS.2001.968329,2001
DWT-DCT (QCD) based copy-move image forgery detection,"Mehdi Ghorbani;
Mohammad Firouzmand;
Ahmad Faraahi",https://ieeexplore.ieee.org/document/5977368/,,2011
A parallel processing model for big medical image data,"Minye Wu;
Yang Zhou;
Zhikang Du;
Xing Wu",https://ieeexplore.ieee.org/document/7065048/,10.1109/ITAIC.2014.7065048,2014
Transform oriented technology for quantitative analysis of fetal movements in ultrasound image sequences,"Leonid Yaroslavsky;
Ben-Zion Shaick",https://ieeexplore.ieee.org/document/7089868/,,1998
Visibility of wavelet quantization noise,"A.B. Watson;
G.Y. Yang;
J.A. Solomon;
J. Villasenor",https://ieeexplore.ieee.org/document/605413/,10.1109/83.605413,1997
Iterative reconstruction of single-shot spiral MRI with off resonance,"T.B. Harshbarger;
D.B. Twieg",https://ieeexplore.ieee.org/document/764889/,10.1109/42.764889,1999
Generalized interpolation: Higher quality at no additional cost,"T. Blu;
P. Thevenaz;
M. Unser",https://ieeexplore.ieee.org/document/817199/,10.1109/ICIP.1999.817199,1999
